Postcode district,Local Areas,Borough
BR1,"Bromley, Bickley, Downham",Bromley
BR2,"Bickley, Hayes, Bromley Common, Shortlands",Bromley
BR3,"Beckenham, Eden Park, Elmers End, Park Langley, Shortlands",Bromley
BR4,West Wickham,Bromley
BR5,"Orpington, St Mary Cray, Petts Wood",Bromley
BR6,"Orpington, Farnborough, Downe, Pratt's Bottom, Chelsfield, Well Hill",Bromley
BR7,"Chislehurst, Elmstead",Bromley
BR8,Swanley,Sevenoaks
CR0,"Croydon, Addiscombe, Shirley, Addington, New Addington, Forestdale, Waddon",Croydon
CR2,"South Croydon, Sanderstead, Selsdon, Addington",Croydon
CR3,"Caterham, Whyteleafe, Chaldon, Woldingham",Croydon
CR4,"Mitcham, Beddington Corner",Merton
CR5,"Coulsdon, Chipstead, Woodmansterne",Croydon
CR6,"Warlingham, Chelsham, Farleigh",Croydon
CR7,Thornton Heath,Croydon
CR8,"Purley, Kenley",Croydon
CR9,Non-geographic,Croydon
DA1,"Dartford, Crayford, Barnes Cray",Dartford
DA14,"Sidcup, Foots Cray, Albany Park, Longlands",Bexley
DA15,"Sidcup, Blackfen, Longlands, Lamorbey, Avery Hill",Bexley
DA16,"Welling, Falconwood, East Wickham",Bexley
DA17,"Belvedere, Lessness Heath",Bexley
DA18,"Erith Marshes, Thamesmead",Bexley
DA5,"Bexley, Albany Park, Joydens Wood",Bexley
DA6,"Bexleyheath, Upton",Bexley
DA7,"Bexleyheath, Barnehurst",Bexley
DA8,"Erith, Northumberland Heath, Slade Green",Bexley
E1,"Aldgate, Bishopsgate, Whitechapel, Shoreditch, Spitalfields, Shadwell, Stepney, Mile End, Portsoken",Tower Hamlets
E10,"Leyton, Temple Mills, Hackney Marshes, Upper Clapton, Walthamstow Marshes",Hackney
E11,"Leytonstone, Wanstead, Aldersbrook, Snaresbrook, Cann Hall",Waltham Forest
E12,"Manor Park, Little Ilford, Aldersbrook",Newham
E13,"Plaistow, West Ham, Upton Park",Newham
E14,"Poplar, Isle of Dogs, Limehouse, Canary Wharf, Blackwall, Cubitt Town",Tower Hamlets
E15,"Stratford, West Ham, Maryland, Leyton, Leytonstone, Temple Mills, Hackney Wick, Bow",Newham
E16,"Silvertown, North Woolwich, Canning Town, Custom House, London City Airport",Newham
E17,"Walthamstow, Upper Walthamstow",Waltham Forest
E18,"Woodford, South Woodford",Redbridge
E1W,Wapping,Tower Hamlets
E2,"Bethnal Green, Haggerston, Shoreditch, Cambridge Heath",Tower Hamlets
E20,"Olympic Park, Stratford",Newham
E3,"Bow, Bromley-by-Bow, Old Ford, Mile End, Three Mills, London Gas Museum",Tower Hamlets
E4,"Chingford, Sewardstone, Highams Park",Waltham Forest
E5,"Upper Clapton, Lower Clapton, Leyton, Stoke Newington",Hackney
E6,"East Ham, Beckton, Upton Park, Barking",Newham
E7,"Forest Gate, Stratford",Newham
E8,"Hackney Central, Dalston, London Fields",Hackney
E9,"Homerton, Hackney Wick, South Hackney, Hackney Marshes, Victoria Park",Hackney
EC1M,"Clerkenwell, Farringdon",Islington
EC1N,Hatton Garden,Camden
EC1R,"Finsbury, Finsbury Estate",Islington
EC1V,"Finsbury, Moorfields Eye Hospital",Islington
EC1Y,"St Luke's, Bunhill Fields",Islington
EC2A,Shoreditch,Hackney
EC2Y,Barbican,City of London
EC3N,"Tower Hill, Tower of London",Tower Hamlets
EN1,"Bush Hill Park, Bulls Cross, Enfield Town, Forty Hill",Enfield
EN2,"Botany Bay, Clay Hill, Crews Hill, Bulls Cross, Enfield Chase, Enfield Town, Forty Hill",Enfield
EN3,"Enfield Highway, Enfield Island Village, Enfield Lock, Enfield Wash, Ponders End",Enfield
