,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
0,BR1S00001OM,BR1,Rent,2 bedroom apartment to rent,Park Hill Bickley BR1,2,1,"£1,700 pcm (£392 pw)",Park Hill Bickley BR1. 2 bedroom apartment to rent,OnTheMarket < 7 days,Kinleigh Folkard & Hayward - Chislehurst Lettings,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
1,BR1S00002OM,BR1,Rent,2 bedroom apartment to rent,"237 Downham Way, Bromley",2,1,"£1,650 pcm (£381 pw)","237 Downham Way, Bromley. 2 bedroom apartment to rent",OnTheMarket < 7 days,Simon & Simon Property Services - Hampton Wick,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
2,BR1S00003OM,BR1,Rent,5 bedroom house to rent,"Edgeborough Way, Sundridge Park, Bromley, BR1",5,2,"£2,800 pcm (£646 pw)","Edgeborough Way, Sundridge Park, Bromley, BR1. 5 bedroom house to rent",OnTheMarket < 7 days,Foxtons - Bromley,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
3,BR1S00004OM,BR1,Rent,Studio to rent,"Bromley Hill, London BR1",Studio,1,"£1,050 pcm (£242 pw)","Bromley Hill, London BR1. Studio to rent",Reduced < 7 days,Milegate - Cricklewood,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
4,BR1S00005OM,BR1,Rent,2 bedroom flat to rent,"Widmore Road, Bromley, BR1",2,2,"£1,850 pcm (£427 pw)","Widmore Road, Bromley, BR1. 2 bedroom flat to rent",OnTheMarket < 7 days,Leo Newman - London,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
5,BR1S00006OM,BR1,Rent,1 bedroom flat to rent,"Widmore Road, Bromley, BR1",1,1,"£1,525 pcm (£352 pw)","Widmore Road, Bromley, BR1. 1 bedroom flat to rent",OnTheMarket < 7 days,Leo Newman - London,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
6,BR1S00007OM,BR1,Rent,2 bedroom apartment to rent,Park Hill Bickley BR1,2,1,"£1,700 pcm (£392 pw)",Park Hill Bickley BR1. 2 bedroom apartment to rent,OnTheMarket < 7 days,Kinleigh Folkard & Hayward - Chislehurst Lettings,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
7,BR1S00008OM,BR1,Rent,3 bedroom property to rent,"Rangefield Road, Bromley, BR1",3,3,"£2,200 pcm (£508 pw)","Rangefield Road, Bromley, BR1. 3 bedroom property to rent",Reduced < 7 days,Curran & Pinner - Bromley,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
8,BR1S00009OM,BR1,Rent,2 bedroom flat to rent,"Widmore Road, Bromley, BR1",2,2,"£2,100 pcm (£485 pw)","Widmore Road, Bromley, BR1. 2 bedroom flat to rent",OnTheMarket < 14 days,Leo Newman - London,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
9,BR1S00010OM,BR1,Rent,2 bedroom apartment to rent,"Faro Close, Bromley, BR1",2,1,"£1,300 pcm (£300 pw)","Faro Close, Bromley, BR1. 2 bedroom apartment to rent",OnTheMarket < 14 days,Sinclair Hammelton - Bromley Lettings & Management,OnTheMartket,https://www.onthemarket.com/to-rent/property/br1/
