,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
0,BR1S00001ZP,BR1,Sales,"Bishops Avenue, Bromley, Kent BR1",6 bed semi-detached house for sale,6,2,"£1,250,000","Chain free and newly rennovated to an exceptional standard - a fabulous 6-bed, 3.5-Bath property in the sought after Bishops Avenue, Bromley. Open ...",Listed on 18th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
1,BR1S00002ZP,BR1,Sales,"College Road, Bromley BR1",1 bed flat for sale,1,1,"£255,000","Escape the city hustle with this stunning one-bedroom garden flat in Bromley, featuring a private outdoor oasis, luxurious bathroom, and short ...",Listed on 18th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
2,BR1S00003ZP,BR1,Sales,"Marian Gardens, Bromley, Kent BR1",2 bed flat for sale,2,1,"£550,000",Located in the prestigious Hampton Grange development in Sundridge Park and presented in stunning condition is this two double bedroom second ...,Listed on 18th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
3,BR1S00004ZP,BR1,Sales,"Forde Avenue, Bromley, Kent BR1",3 bed terraced house for sale,3,1,"£600,000","A very generously proportioned mid terraced three bedroom 1930's family house requiring modernisation and redecoration, which is amply reflected ...",Listed on 18th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
4,BR1S00005ZP,BR1,Sales,"Ellen Close, Bickley, Bromley BR1",3 bed semi-detached house for sale,3,2,"£525,000","*Guide Price £525,000 - £550,000* A spacious three bedroom 1970’s semi-detached house situated within a quiet cul-de-sac in the heart of Bromley ...",Listed on 18th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
5,BR1S00006ZP,BR1,Sales,"South Street, Bromley BR1",1 bed flat for sale,1,1,"£260,000","** Guide Price £260,000 to £280,000 ** Leaders are pleased to present to the market this chain free one double bedroom apartment, that we feel is ...",Available immediately,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
6,BR1S00007ZP,BR1,Sales,"Rangefield Road, Bromley BR1",2 bed terraced house for sale,2,1,"£400,000","A well presented three bedroom mid-terrace house situated in a quiet, residential road, ideally located for Bromley town centre. Benefitting from ...",Listed on 17th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
7,BR1S00008ZP,BR1,Sales,"Southborough Road, Bickley, Bromley BR1",5 bed detached house for sale,5,3,"£1,000,000",Opportunity to acquire a self-build plot with planning permission pending (renewal of existing consent) for a sizable detached family residence ...,Listed on 17th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
8,BR1S00009ZP,BR1,Sales,"Powster Road, Bromley BR1",3 bed link detached house for sale,3,1,"£600,000","New to Market: Modern, Spacious and Beautifully designed newly refurbished family home with high ceilings and large back garden and a drive, with ...",Listed on 17th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
9,BR1S00010ZP,BR1,Sales,"Sundridge Avenue, Bromley BR1",5 bed detached house for sale,5,3,"£2,750,000","Beautifully designed to reflect the elegant features of a Georgian villa, which was built in 2016 measuring 4995 square feet. The internal ...",Listed on 17th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
10,BR1S00011ZP,BR1,Sales,"Woodlands Close, Bromley BR1",5 bed detached house for sale,5,3,"£1,500,000",Ref pb 0330,Listed on 17th May 2023,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
11,BR1S00012ZP,BR1,Sales,"Ethelbert Close, Bromley BR1",Land for sale,5,4,"£15,000","Strapline Auction Sale - 31/05/2023 A unexcavated basement space with planning permission granted for excavation of the ground to front, side and ...",Available immediately,,Zoopla,https://www.zoopla.co.uk/for-sale/property/br1/?q=BR1&search_source=home
